student_id,age,sex,address,famsize,Pstatus,Medu,Fedu,studytime,failures,schoolsup,famsup,paid,activities,internet,romantic,famrel,freetime,goout,health,absences,teacher_id,school_id,math_score
1,18,F,U,LE3,T,1,2,2,0,no,no,no,yes,yes,no,5,5,2,5,2,35,8,20.0
2,19,F,U,LE3,T,1,3,1,0,no,no,yes,yes,yes,no,1,3,5,5,3,13,8,20.0
3,17,F,U,LE3,T,2,2,3,0,yes,no,yes,no,yes,yes,4,4,3,4,5,6,10,20.0
4,19,F,R,GT3,T,3,0,2,1,no,yes,no,yes,yes,yes,4,3,4,5,3,43,8,20.0
5,19,F,U,GT3,T,0,3,3,0,no,yes,no,yes,no,no,3,5,3,4,3,6,10,20.0
6,16,M,R,GT3,A,4,0,2,0,yes,yes,no,yes,yes,yes,4,4,4,4,3,35,3,20.0
7,17,F,U,GT3,T,3,3,2,0,no,no,yes,no,yes,no,2,3,3,2,3,16,10,20.0
8,17,M,U,LE3,T,3,4,3,2,yes,yes,no,yes,yes,no,3,3,3,2,2,41,8,20.0
9,17,F,R,GT3,T,3,2,2,0,yes,no,yes,yes,no,no,4,4,4,5,3,8,4,20.0
10,19,M,R,GT3,T,0,3,2,2,yes,yes,no,yes,yes,no,4,2,4,2,4,3,3,17.17
11,18,F,R,LE3,T,2,2,2,1,yes,yes,no,no,yes,no,2,4,3,3,2,5,9,20.0
12,17,M,R,GT3,T,3,2,2,0,no,no,yes,yes,no,no,3,5,2,5,7,21,8,20.0
13,19,F,U,LE3,T,3,4,2,1,no,yes,no,no,yes,no,3,5,3,1,4,31,10,20.0
14,16,M,R,GT3,T,3,4,3,0,no,yes,yes,yes,yes,no,3,2,3,3,2,14,2,20.0
15,18,F,U,GT3,T,2,2,2,3,no,yes,no,yes,yes,yes,3,5,4,4,2,37,8,18.03
16,16,M,R,GT3,T,4,3,2,0,yes,yes,yes,no,yes,no,4,4,5,4,1,19,3,20.0
17,18,F,U,GT3,T,1,4,3,0,yes,no,no,yes,yes,yes,4,3,1,5,2,37,10,20.0
18,19,M,R,GT3,T,4,4,2,0,no,yes,yes,no,yes,no,4,1,2,4,3,20,6,20.0
19,15,M,U,GT3,T,4,3,2,0,no,yes,no,no,yes,no,5,3,2,4,6,2,5,20.0
20,18,F,U,LE3,T,1,2,4,3,yes,yes,no,no,yes,yes,4,5,3,4,5,7,8,18.46
21,16,F,U,LE3,T,3,2,3,0,no,no,no,no,yes,yes,2,1,3,4,3,33,9,20.0
22,19,M,R,GT3,T,0,4,2,1,no,yes,yes,yes,yes,no,1,3,4,4,2,50,7,20.0
23,18,F,U,GT3,T,2,1,3,0,no,no,no,yes,yes,no,5,4,2,5,4,42,6,20.0
24,15,M,U,GT3,T,3,3,1,2,no,no,yes,no,no,no,2,4,4,4,2,6,6,13.82
25,15,M,U,GT3,T,3,2,3,0,yes,yes,no,no,yes,no,2,4,5,4,3,7,1,20.0
26,17,M,U,GT3,T,4,2,2,0,no,no,yes,no,no,yes,1,4,5,1,4,44,5,19.65
27,17,F,R,GT3,T,3,2,2,0,yes,no,no,yes,yes,no,4,2,5,4,1,18,8,20.0
28,16,M,U,GT3,T,2,4,2,1,no,yes,yes,yes,yes,no,4,5,4,1,9,43,6,20.0
29,18,M,R,GT3,T,3,0,1,0,yes,yes,yes,no,yes,no,5,3,5,4,4,29,1,20.0
30,18,F,U,GT3,T,4,3,1,0,no,no,yes,yes,yes,yes,5,4,2,5,3,19,5,20.0
31,17,F,U,GT3,T,0,0,4,0,yes,no,no,yes,yes,no,4,4,2,4,3,25,5,20.0
32,18,F,R,LE3,T,4,1,2,1,no,yes,yes,yes,yes,yes,4,3,1,3,2,4,3,20.0
33,18,F,U,GT3,T,0,2,2,0,no,yes,no,no,no,yes,3,5,4,5,2,13,8,20.0
34,15,M,U,LE3,T,3,3,1,0,no,no,no,yes,yes,no,3,4,5,3,4,32,9,20.0
35,17,M,U,LE3,T,2,2,1,0,no,no,no,no,yes,yes,2,2,2,4,2,27,6,20.0
36,19,M,R,LE3,T,1,2,3,2,no,no,no,yes,no,yes,2,5,4,4,2,34,6,18.7
37,17,M,U,GT3,T,2,0,2,2,no,yes,yes,no,no,no,2,4,4,3,2,28,2,15.16
38,19,F,R,GT3,T,3,2,2,0,no,no,no,no,no,no,3,4,5,5,3,9,10,20.0
39,15,M,R,LE3,A,2,4,2,0,no,yes,yes,yes,yes,no,3,4,4,3,2,8,2,20.0
40,16,M,U,GT3,T,0,4,3,0,no,yes,no,no,yes,no,5,5,5,5,3,21,6,20.0
41,18,F,U,GT3,A,3,2,1,0,no,no,yes,yes,yes,no,4,1,3,1,3,46,8,19.8
42,15,M,U,GT3,T,4,3,1,0,no,no,no,yes,yes,yes,5,3,3,3,3,30,2,20.0
43,18,M,U,LE3,T,2,4,2,1,no,yes,yes,no,yes,no,4,4,3,3,3,29,9,20.0
44,16,M,U,GT3,T,1,0,2,0,no,yes,no,yes,yes,no,4,2,3,1,4,9,9,19.22
45,16,M,U,GT3,A,2,3,2,2,no,no,yes,yes,yes,no,3,4,1,4,6,13,4,18.95
46,15,M,U,LE3,T,0,4,3,0,no,yes,no,yes,yes,yes,3,3,4,4,2,18,4,20.0
47,16,M,R,LE3,T,3,0,3,1,yes,no,yes,yes,yes,yes,2,3,4,5,3,38,4,20.0
48,19,F,R,GT3,T,3,1,3,0,no,no,no,no,yes,no,5,1,4,3,5,22,5,20.0
49,16,F,R,GT3,T,3,4,2,0,no,yes,no,yes,yes,no,5,4,3,4,1,31,8,20.0
50,18,M,U,GT3,T,2,3,1,0,no,no,no,no,no,no,1,5,3,4,4,35,2,17.67
51,18,M,U,GT3,T,3,0,2,0,no,no,no,no,yes,no,3,3,3,4,3,42,5,20.0
52,18,F,U,GT3,T,3,2,4,0,yes,no,no,yes,yes,yes,4,4,1,4,6,42,2,20.0
53,18,M,R,GT3,T,3,2,2,1,no,no,no,yes,yes,no,3,3,4,4,3,10,8,20.0
54,19,M,U,LE3,T,3,3,3,2,no,no,no,no,yes,no,4,4,2,2,1,9,1,20.0
55,17,M,R,GT3,T,3,3,1,0,no,yes,no,yes,yes,no,2,1,1,5,4,31,7,20.0
56,15,F,U,GT3,T,3,4,2,0,yes,yes,no,yes,no,yes,4,4,4,4,3,44,3,20.0
57,18,M,U,GT3,A,2,2,1,0,no,no,yes,yes,yes,no,3,4,1,4,2,40,4,19.54
58,16,F,R,GT3,T,4,3,2,0,no,yes,no,no,yes,no,4,5,5,3,4,24,8,20.0
59,18,M,U,GT3,T,3,3,4,0,yes,yes,no,no,yes,yes,2,3,3,3,6,41,3,20.0
60,16,F,R,LE3,T,3,2,4,1,no,no,yes,yes,yes,no,4,4,5,4,3,49,7,20.0
61,16,F,R,GT3,T,1,1,2,3,yes,no,no,yes,no,yes,5,4,1,3,6,8,1,16.78
62,18,M,U,LE3,T,3,4,2,2,no,yes,yes,no,yes,no,3,5,4,3,5,50,9,20.0
63,19,F,U,GT3,T,3,4,4,0,yes,no,yes,no,yes,no,5,3,3,5,2,20,6,20.0
64,16,M,U,LE3,T,1,2,3,2,yes,no,no,no,yes,yes,5,3,4,4,4,17,3,20.0
65,16,F,R,LE3,T,0,3,1,1,no,yes,no,no,yes,yes,5,5,3,4,1,28,7,16.42
66,18,M,U,GT3,T,3,1,2,0,yes,no,no,yes,yes,no,5,1,3,3,4,6,5,20.0
67,16,M,U,LE3,T,3,3,2,0,yes,yes,no,no,yes,no,4,2,5,5,1,42,8,20.0
68,16,F,U,GT3,T,3,3,2,1,no,yes,no,yes,yes,no,5,2,3,3,2,33,8,20.0
69,18,M,R,GT3,A,1,3,2,0,no,yes,yes,yes,yes,yes,2,5,1,5,5,28,9,20.0
70,18,M,U,LE3,T,3,4,2,0,no,yes,yes,no,yes,no,4,1,3,5,1,1,6,20.0
71,15,F,R,LE3,T,0,3,2,0,no,yes,no,yes,no,yes,5,5,4,4,4,41,4,18.58
72,19,M,R,GT3,T,2,2,1,0,no,no,yes,no,yes,no,5,4,3,5,1,35,2,20.0
73,19,M,U,GT3,T,1,3,2,0,no,no,no,yes,yes,no,5,1,3,4,3,24,3,20.0
74,16,F,U,GT3,T,1,1,3,2,yes,yes,no,no,no,no,5,3,1,3,2,6,5,19.3
75,19,F,R,GT3,T,1,2,3,1,yes,no,yes,no,yes,no,5,3,4,3,4,7,8,19.56
76,16,M,U,GT3,T,2,2,2,1,no,yes,no,yes,yes,yes,4,4,4,3,3,9,10,17.65
77,15,M,R,GT3,T,0,2,4,0,no,yes,no,no,yes,yes,5,4,3,1,5,37,2,20.0
78,18,F,U,GT3,T,2,3,4,1,no,no,no,yes,yes,no,4,4,3,4,6,16,5,20.0
79,18,F,U,GT3,T,3,2,2,0,no,yes,no,no,no,no,5,1,1,3,4,34,9,20.0
80,18,M,R,LE3,T,2,3,1,0,no,yes,no,yes,yes,no,5,4,2,5,5,35,2,20.0
