feature,importance
studytime,0.4029873931449528
studytime_x_failures,0.3311720026193951
failures,0.2707281574482345
Medu,0.19764515709530708
Fedu,0.1963789608248722
studytime_squared,0.1420676500835457
failures_squared,0.13888784455756803
studytime_x_Medu,0.13066538196357594
failures_x_Medu,0.12843124046358362
age,0.11954924936038622
studytime_x_age,0.11399971547630894
famrel,0.086180472632372
famsup_yes,0.07773029711742803
address_U,0.052128934499916534
activities_yes,0.050926168618210046
failures_x_age,0.04600979351469767
teacher_id,0.04016116700802392
health,0.04015462305890713
age_x_Medu,0.039078620191075816
schoolsup_yes,0.03665767758219009
goout,0.03272136074927294
sex_M,0.029832192655168444
age_squared,0.019342619948816468
teacher_subject_specialty_Math,0.016802083082224688
teacher_rating,0.005431554695042691
library_quality,0.003737213985232439
school_id,0.0031870139399318635
famsize_LE3,0.0031845300007003396
internet_speed_Low,0.0
internet_speed_Medium,0.0
building_condition_Poor,0.0
Pstatus_T,0.0
school_size_Medium,0.0
teaching_method_Mixed,0.0
teacher_subject_specialty_Social,0.0
absences,0.0
teacher_subject_specialty_Science,0.0
internet_yes,0.0
paid_yes,0.0
sports_facilities_Fair,0.0
