teacher_id,teacher_experience,teacher_education,teacher_subject_specialty,teacher_rating,class_size,teaching_method
1,11,Bachelor,Math,5.0,32,Traditional
2,2,Master,Language,2.96,27,Traditional
3,3,Master,Science,4.43,22,Interactive
4,15,Master,Social,3.97,27,Interactive
5,24,PhD,Science,5.0,27,Traditional
6,13,Master,Language,3.37,31,Interactive
7,25,Master,Language,4.05,20,Interactive
8,10,Master,Science,2.64,23,Interactive
9,5,Master,Language,2.45,26,Mixed
10,24,Master,Math,4.48,32,Mixed
11,30,Master,Math,2.57,33,Mixed
12,11,Master,Science,3.82,30,Mixed
13,23,Master,Social,4.81,20,Traditional
14,28,Master,Science,4.6,22,Interactive
15,14,Master,Science,3.47,22,Mixed
16,28,Master,Science,2.73,25,Interactive
17,29,Master,Math,4.41,24,Mixed
18,25,Master,Math,5.0,31,Interactive
19,20,PhD,Language,3.47,30,Interactive
20,15,PhD,Social,3.36,34,Traditional
21,13,Bachelor,Math,3.58,26,Mixed
22,26,Bachelor,Science,4.46,22,Mixed
23,3,Master,Math,4.98,30,Mixed
24,9,Master,Math,3.01,20,Interactive
25,8,Bachelor,Math,2.8,30,Traditional
26,15,Master,Science,5.0,34,Traditional
27,23,Master,Math,3.86,22,Mixed
28,1,Master,Math,4.2,27,Interactive
29,2,Master,Language,3.45,35,Traditional
30,9,Master,Social,4.39,24,Interactive
31,21,Master,Math,4.77,34,Interactive
32,17,Bachelor,Science,4.24,22,Interactive
33,9,Master,Math,5.0,33,Interactive
34,1,Bachelor,Social,3.74,27,Interactive
35,8,Master,Science,3.79,25,Mixed
36,5,Master,Language,4.19,34,Traditional
37,30,Master,Math,4.37,22,Interactive
38,11,Master,Science,4.18,33,Interactive
39,28,Master,Science,2.97,24,Mixed
40,6,Bachelor,Math,4.25,20,Interactive
41,17,Bachelor,Math,3.7,25,Interactive
42,18,Master,Science,3.54,34,Interactive
43,23,Bachelor,Language,4.03,33,Interactive
44,18,Bachelor,Math,3.23,31,Mixed
45,5,Master,Science,3.09,32,Mixed
46,27,Master,Math,1.91,33,Interactive
47,25,Master,Math,5.0,28,Interactive
48,5,Master,Science,4.44,31,Traditional
49,28,PhD,Math,3.91,26,Interactive
50,19,PhD,Science,3.47,34,Mixed
